TravelDate,EntryTapCount,ExitTapCount
20240717,7771,7379
20240718,8043,7580
20240719,7556,6953
20240720,5680,5162
20240721,3893,3793
20240722,7016,6678
20240723,7481,7166
20240724,7371,7038
20240725,7611,7169
20240726,7181,6736
20240727,5728,5180
20240728,4092,3913
20240729,6772,6520
20240730,6901,5932
20240731,7009,6725
20240801,7285,6752
20240802,6855,6375
20240803,5348,4943
20240804,3786,3613
20240805,6633,6434
20240806,7013,6684
20240807,6676,6379
20240808,6642,6349
20240809,6483,6218
20240810,5360,4945
20240811,3863,3786
20240812,5053,5636
20240813,6797,6580
20240814,6964,6632
20240815,7155,6782
20240816,6820,6392
20240817,5778,5158
20240818,4063,3973
20240819,6613,6323
20240820,7005,6800
20240821,7149,6949
20240822,6855,6501
20240823,6803,6373
20240824,4723,4359
20240825,4448,3820
20240826,4178,3793
20240827,6479,6258
20240828,7127,6862
20240829,7140,6892
20240830,6799,6326
20240831,5582,5153
20240901,4069,4175
20240902,6799,6523
20240903,7220,7021
20240904,7344,7123
20240905,7377,6969
20240906,7309,6775
20240907,5417,4943
20240908,3623,3516
20240909,7129,6832
20240910,7719,7298
20240911,7774,7334
20240912,7783,7409
20240913,7314,6923
20240914,5635,4910
20240915,4020,3892
20240916,7504,7114
20240917,7811,7503
20240918,7878,7619
20240919,8006,7513
20240920,7513,7080
20240921,6084,5446
20240922,3731,3574
20240923,7326,7112
20240924,7966,7590
20240925,7940,7633
20240926,8077,7696
20240927,7524,6934
20240928,5866,5370
20240930,7380,7063
20241001,7762,7578
20241002,8070,7561
20241003,8040,7592
20241004,7743,7135
20241005,6136,5403
20241006,3624,3642
20241007,7577,7279
20241008,7837,7578
20241009,7962,7561
20241010,8468,7884
20241011,7912,7444
20241012,5688,5067
20241013,3795,3679
20241014,7455,7100
20241015,7834,7650
20241016,7963,7384
20241017,7917,7584
20241018,7770,7303
20241019,5482,4996
20241020,3557,3396
20241021,7488,7194
20241022,8118,7747
20241023,7876,7054
20241024,8155,8119
20241025,7692,7313
20241026,5858,5209
20241027,4443,4263
20241028,7271,7028
20241029,7576,7360
20241030,7708,7437
20241031,7812,7359
20241101,7281,6735
20241102,5676,5150
20241103,4023,3833
20241104,6854,7155
20241105,7688,7379
20241106,7816,7395
20241107,7743,7337
20241108,7720,7301
20241109,5808,5101
20241110,3753,3596
20241111,7496,7333
20241112,7774,7498
20241113,7984,7564
20241114,8161,7929
20241115,7853,7555
20241116,5425,4651
20241117,3587,3393
20241118,7321,7167
20241119,7691,7394
20241120,8003,7576
20241121,8247,7702
20241122,7886,7246
20241123,5486,4846
20241124,3765,3630
20241125,7733,7290
20241126,7533,6639
20241127,7423,7153
20241128,8352,7820
20241129,8278,7547
20241130,6507,5666
20241201,4076,3722
20241202,7750,7117
20241203,7936,7792
20241204,8277,7635
20241205,8311,7635
20241206,8342,7595
20241207,4940,4401
20241208,3567,3476
20241209,7746,7389
20241210,7946,7527
20241211,8006,7595
20241212,8114,7558
20241213,7923,7408
20241214,6098,5473
20241215,4108,3986
20241216,7582,7376
20241217,7756,7456
20241218,7794,7309
20241219,7690,7224
20241220,7675,7066
20241221,5953,5219
20241222,4157,3775
20241223,6050,5619
20241224,4958,4633
20241227,4775,4485
20241228,4571,4160
